area;location;price;rooms;square_price;source;title
68;Opština Vračar , Centar , Brane Crnčevića;243900;2.5;3587;halooglasi;Vračar - Hram - Ohridska - Krušedolska ID#4430
47;Opština Palilula , Borča , Milana Toplice;80000;2.0;1702;halooglasi;2.0 stan u Borči, Milana Toplice ID#2668
105;Opština Vračar , Kalenić pijaca , Ljubostinjska;395000;4.0;3762;halooglasi;Vračar, novogradnja, garaža, ID 21508
138;Opština Novi Beograd , Blok 65 , Tadije Sondermajera;522600;4.0;3787;halooglasi;Wellport, lux stan sa dve prelepe bašte, ID 21434
58;Opština Novi Beograd , Blok 65 , Omladinskih brigada;272000;2.0;4690;halooglasi;West 65, lux, novogradnja, ID 19624
56;Opština Stari grad , Dorćol , Venizelosova;264000;2.0;4723;halooglasi;Prodaja stana kompleks Novi Dorćol
48;Opština Novi Beograd , Blok 67a (A blok) , Jurija Gagarina;249500;2.0;5198;halooglasi;A blok, lux, opremljen, garaža, ID 22161
64;Opština Novi Beograd , Blok 45 (TC Enjub) , Jurija Gagarina;150000;2.0;2344;halooglasi;Jurija Gagarina Blok 45
65;Opština Palilula , Karaburma , Danteova;125000;3.0;1923;halooglasi;Karaburma, Danteova
100;Opština Voždovac , Autokomanda , Vojvode Stepe;270000;3.5;2700;halooglasi;Autokomanda, novogradnja, garaža, ID 21619
85;Opština Novi Beograd , Blok 67a (A blok) , Uroša Martinovića;355500;3.0;4182;halooglasi;Savada, lux, novogradnja, garaža, ID 21138
42;Opština Vračar , Južni bulevar , Kneza Stracimira;127500;0.5;3104;halooglasi;Lux garsonjera, Južni bulevar, Vračar
90;Opština Voždovac , Voždovačka crkva , Vojvode Stepe;235000;3.5;2611;halooglasi;Voždovac, nov stan, garaža, ID 21544
108;Opština Čukarica , Filmski grad , Kneza Višeslava;252000;4.0;2333;halooglasi;Filmski grad, veoma lepo sređen, garaža, ID 20320
42;Opština Voždovac , Voždovačka crkva , Vojvode Stepe;160000;1.5;3810;halooglasi;Voždovac, nova zgrada, garaža, ID 21545
122;Opština Vračar , Gospodara Vučića , Gospodara Vučića;415000;4.0;3402;halooglasi;Vračar, lux, namešten, garaža, ID 20613
77;Opština Vračar , Južni bulevar , Kneza Stracimira;240000;3.0;3155;halooglasi;Lux stan u izgradnji, Južni bulevar, Vračar
101;Opština Novi Beograd , Blok 67 (Belvil) , Jurija Gagarina;349990;3.0;3465;halooglasi;Belvil, lux sređen, garažno mesto, ID 21184
71;Opština Vračar , Južni bulevar , Kneza Stracimira;236000;2.5;3351;halooglasi;Lux stan u izgradnji, Južni bulevar, Vračar
78;Opština Novi Beograd , Hotel Jugoslavija , Aleksinačkih rudara;215000;2.5;2756;halooglasi;Hotel Jugoslavija | Aleksinačkih rudara | 78m2
49;Opština Zvezdara , Cvetkova pijaca;143600;2.0;2931;halooglasi;Cvetkova pijaca, novogradnja, garaža, ID 22294
55;Opština Voždovac , Vitanovačka , Gostivarska;130000;2.0;2364;halooglasi;Voždovac GOSTIVARSKA dvosoban sa garažom
96;Opština Novi Beograd , Blok 70 (kineski tržni centar) , Gandijeva;288000;3.0;3000;halooglasi;Blok 70, Gandijeva, 96 kvm - blizina Save
52;Opština Vračar , Južni bulevar , Južni bulevar;195000;2.0;3750;halooglasi;Južni bulevar
71;Opština Novi Beograd , Blok 67a (A blok) , Jurija Gagarina;280000;3.0;3944;halooglasi;Sun City, lux, novogradnja, garaža, ID 21938
94;Opština Novi Beograd , Blok 67a (A blok) , Uroša Martinovića;410000;4.0;4362;halooglasi;A blok, lux, namešten, garaže, ID 21922
93;Opština Novi Beograd , Blok 65 , Bulevar heroja sa Košara;415000;3.0;4462;halooglasi;ZepTerra, lux, novogradnja, garaža, ID 22089
80;Opština Čukarica , Banovo brdo;259481;4.0;3244;halooglasi;Extra lux stan na Banovom brdu - bez provizije
52;Opština Novi Beograd , Blok 63 , Gandijeva;124000;2.0;2385;halooglasi;Novi Beograd, bl.63, Gandijeva, 2.0, 52m2,L
85;Opština Zvezdara , Mirijevo , Koste Nađa;156000;4.0;1835;halooglasi;Komforan, održavan, svetao
73;Opština Voždovac , Banjica , Bulevar oslobođenja;149900;3.0;2053;halooglasi;Južna strana, terasa 30m2
29;Opština Vračar , Hram svetog Save , Nebojšina;97000;1.0;3345;halooglasi;Renoviran, panoramski pogled
73;Opština Zemun , Altina , Pavla Vujisića 69b;115000;2.5;1575;halooglasi;Direktna prodaja Altina
67;Opština Zemun , Pregrevica;199350;3.0;3000;halooglasi;Sjajan,lux trosoban stan
51;Opština Zemun , Pregrevica;150060;2.0;3000;halooglasi;Sjajan, lux dvosoban stan, Pregrevica
103;Opština Zemun , Pregrevica;308010;4.0;3000;halooglasi;Lux 4.0, plus u cenu uklučeno dvorište od 150m2
90;Opština Voždovac , Autokomanda , Bože Jankovića;179000;4.0;1989;halooglasi;Odličan stan na dobroj lokaciji
118;Opština Vračar , Hram svetog Save , Svetog Save;435000;4.0;3686;halooglasi;Vračar, Hram, stan sa garažom
56;Opština Zvezdara , Mirijevo , Mirijevski venac;120000;2.0;2143;halooglasi;Mirijevski venac, Mirijevo
90;Opština Vračar , Hram svetog Save , Brane Crnčevića;412000;3.0;4578;halooglasi;Vračar, Hram Sv. Save - Brane Crnčevića, 90m2
77;Opština Voždovac , Medaković 3 , Braće Srnić;179000;3.0;2325;halooglasi;Medaković 3 Braće Srnić trosoban stan
97;Opština Novi Beograd , Bežanijska kosa 2 , Marka Čelebonovića;250000;4.0;2577;halooglasi;Izvanredan, svetao stan u zelenilu
83;Opština Zvezdara , Mirijevo , Kapetana Miloša Žunjića;164000;4.0;1976;halooglasi;83m2 +37m2 terasa, parking
43;Opština Palilula , Hadžipopovac , Vojvode Vuka;148000;2.0;3498;halooglasi;Novogradnja Hadzipopovac - bez provizije za kupca
41;Opština Vračar , Hram svetog Save , Šumatovačka;173000;1.5;4220;halooglasi;Vračar, 1.5, novogradnja, Šumatovačka ID#1298
46;Opština Palilula , Botanička bašta , Dalmatinska;115000;2.0;2500;halooglasi;Renoviran 2.0 stan u Dalmatinskoj, Botanička bašta
74;Opština Savski venac , Senjak , Stjepana Filipovića;186250;3.0;2540;halooglasi;Senjak, Hajd Park, osvetljen, trostran 3.0 stan ID
130;Opština Stari grad , Centar , Hilandarska;375000;4.0;2885;halooglasi;Divna salonska zgrada, lift, Stari grad, 4.0 ID#13
45;Opština Čukarica , Golf , Izvorska;128250;2.0;2850;halooglasi;Golf naselje, Izvorska ulica, 2.0, 45 m2 ID#1313
108;Opština Vračar , Hram svetog Save , Sokolska;288000;3.5;2667;halooglasi;Salonski kod Hrama, odličan
